State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
New Jersey,01/02/2016,"19,836",12/26/2015,"112,157","3,804,963",2.95
New Jersey,01/09/2016,"19,138",01/02/2016,"132,895","3,815,989",3.48
New Jersey,01/16/2016,"14,047",01/09/2016,"120,945","3,815,989",3.17
New Jersey,01/23/2016,"9,936",01/16/2016,"121,620","3,815,989",3.19
New Jersey,01/30/2016,"12,065",01/23/2016,"125,818","3,815,989",3.3
New Jersey,02/06/2016,"10,674",01/30/2016,"129,377","3,815,989",3.39
New Jersey,02/13/2016,"9,473",02/06/2016,"128,564","3,815,989",3.37
New Jersey,02/20/2016,"9,171",02/13/2016,"127,128","3,815,989",3.33
New Jersey,02/27/2016,"9,059",02/20/2016,"128,337","3,815,989",3.36
New Jersey,03/05/2016,"9,135",02/27/2016,"125,559","3,815,989",3.29
New Jersey,03/12/2016,"8,056",03/05/2016,"121,735","3,815,100",3.19
New Jersey,03/19/2016,"7,935",03/12/2016,"117,879","3,815,100",3.09
New Jersey,03/26/2016,"9,392",03/19/2016,"113,174","3,815,100",2.97
New Jersey,04/02/2016,"13,228",03/26/2016,"111,877","3,815,100",2.93
New Jersey,04/09/2016,"10,619",04/02/2016,"112,654","3,828,323",2.94
New Jersey,04/16/2016,"9,763",04/09/2016,"102,509","3,828,323",2.68
New Jersey,04/23/2016,"8,475",04/16/2016,"99,552","3,828,323",2.6
New Jersey,04/30/2016,"9,191",04/23/2016,"95,171","3,828,199",2.49
New Jersey,05/07/2016,"9,084",04/30/2016,"93,600","3,828,199",2.45
New Jersey,05/14/2016,"9,034",05/07/2016,"92,248","3,828,199",2.41
New Jersey,05/21/2016,"8,233",05/14/2016,"91,440","3,828,199",2.39
New Jersey,05/28/2016,"8,664",05/21/2016,"89,202","3,828,199",2.33
New Jersey,06/04/2016,"7,450",05/28/2016,"86,950","3,828,199",2.27
New Jersey,06/11/2016,"8,229",06/04/2016,"87,633","3,828,199",2.29
New Jersey,06/18/2016,"11,439",06/11/2016,"85,149","3,828,199",2.22
New Jersey,06/25/2016,"18,154",06/18/2016,"86,692","3,828,199",2.26
New Jersey,07/02/2016,"16,295",06/25/2016,"92,645","3,828,199",2.42
New Jersey,07/09/2016,"10,830",07/02/2016,"100,689","3,844,279",2.62
New Jersey,07/16/2016,"9,493",07/09/2016,"107,046","3,844,279",2.78
New Jersey,07/23/2016,"8,470",07/16/2016,"104,984","3,844,279",2.73
New Jersey,07/30/2016,"8,439",07/23/2016,"105,299","3,844,279",2.74
New Jersey,08/06/2016,"9,158",07/30/2016,"105,115","3,844,279",2.73
New Jersey,08/13/2016,"8,713",08/06/2016,"104,728","3,844,279",2.72
New Jersey,08/20/2016,"8,831",08/13/2016,"105,796","3,844,279",2.75
New Jersey,08/27/2016,"8,209",08/20/2016,"105,516","3,844,279",2.74
New Jersey,09/03/2016,"8,332",08/27/2016,"105,892","3,844,279",2.75
New Jersey,09/10/2016,"7,188",09/03/2016,"101,272","3,844,279",2.63
New Jersey,09/17/2016,"8,853",09/10/2016,"90,212","3,844,279",2.35
New Jersey,09/24/2016,"7,943",09/17/2016,"83,124","3,844,279",2.16
New Jersey,10/01/2016,"8,125",09/24/2016,"82,165","3,844,279",2.14
New Jersey,10/08/2016,"9,588",10/01/2016,"81,760","3,863,005",2.12
New Jersey,10/15/2016,"9,064",10/08/2016,"81,476","3,861,568",2.11
New Jersey,10/22/2016,"9,324",10/15/2016,"84,515","3,861,568",2.19
New Jersey,10/29/2016,"8,830",10/22/2016,"84,749","3,861,568",2.19
New Jersey,11/05/2016,"10,262",10/29/2016,"86,037","3,861,568",2.23
New Jersey,11/12/2016,"10,076",11/05/2016,"85,576","3,861,568",2.22
New Jersey,11/19/2016,"11,023",11/12/2016,"92,313","3,861,568",2.39
New Jersey,11/26/2016,"9,813",11/19/2016,"85,431","3,861,568",2.21
New Jersey,12/03/2016,"12,284",11/26/2016,"96,758","3,861,568",2.51
New Jersey,12/10/2016,"11,183",12/03/2016,"93,722","3,861,568",2.43
New Jersey,12/17/2016,"12,563",12/10/2016,"95,869","3,861,568",2.48
